time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.60146616266e-06,1.79559981284e-07,10.0023585336,0.00019001918305,0.00107698785552,0.0,-0.00011999450094,1.60212937367e-05,0.0786149260865,0.00884882085334,0.0403086823,0.0,429.0536738894207,432.4617450567136,428.98548729747637,429.73602490988526
0.12000000000000001,-4.65015023886e-05,8.54174180597e-06,10.0142043358,0.000235204087284,0.00335292758481,0.0,-0.00166449310306,0.000309630319404,0.316208467119,-0.0249707959734,0.0326981716736,0.0,478.5211321020533,477.94212115486187,480.2325929513886,477.6608851974358
0.18,-0.000224720271652,2.61787326296e-05,10.0366064407,6.28184775279,0.00529210885096,0.0,-0.00447910758983,0.000118515344986,0.430490734059,-0.0288193979922,0.0315519210405,0.0,441.69178415590994,441.5976548675401,441.58119618201636,441.26350762319106
0.23999999999999996,-0.000611854043487,-1.53477858782e-06,10.0657588472,6.28005540026,0.00680315238604,0.0,-0.00860632622015,-0.00122453540044,0.541208214954,-0.0320663055227,0.00771538554723,0.0,441.6285210412609,439.6584423402456,440.4989473544079,440.2301148253288
0.3,-0.00128425353057,-0.000153416407982,10.1031343293,6.27835149096,0.00772257996429,0.0,-0.0138869560193,-0.00403897371478,0.704552919706,-0.0219215753163,0.0273330637549,0.0,455.3461286119095,456.9124881540659,457.2505146559943,458.05764433288977
0.36000000000000004,-0.00226362234361,-0.000488307562988,10.145966276,6.27692816896,0.00907819915832,0.0,-0.0188953641028,-0.00724693612184,0.723165073311,-0.0275902603605,0.0108526435877,0.0,411.44000831259143,409.978602180348,411.13620814914344,410.633604201365
0.4200000000000001,-0.00357257322899,-0.00104788979849,10.1907263383,6.27542415383,0.0099256992138,0.0,-0.0248071410638,-0.0115536335103,0.768805367942,-0.0204461985672,0.019975889006,0.0,420.25003407236693,421.0398817336781,418.76706888446057,419.38780084770804
0.48000000000000015,-0.00527424957242,-0.00190903694766,10.2402070528,6.27403314235,0.0111432676517,0.0,-0.0320399548871,-0.0172857240052,0.880469451848,-0.0293125950172,0.020919173033,0.0,440.91069964076166,440.9885948047233,441.86575810027597,441.13425415406994
0.5400000000000001,-0.00746421452398,-0.00316901687789,10.2989033088,6.27241494887,0.0122155600938,0.0,-0.0410931788275,-0.0249077085244,1.07590513432,-0.0226545441408,0.0109481777642,0.0,466.581590924857,465.8025097870469,467.6018158550658,468.11999712919254
0.6000000000000002,-0.0101833936513,-0.00488986427316,10.366355119,6.27125528621,0.0125717071161,0.0,-0.0495990737211,-0.0325799385441,1.17239187934,-0.0133898477558,-0.00667878975262,0.0,437.95434896626136,436.48587026665626,436.3723759106587,437.1450094769606
0.6600000000000003,-0.0134186930728,-0.00709449783059,10.4397313326,6.27057184735,0.012717036595,0.0,-0.0582344285889,-0.0409822570971,1.2733734839,-0.00766536955493,0.0162455475053,0.0,438.1398129108153,440.04138956296913,437.9297519111653,438.40571999356376
0.7200000000000003,-0.0172543881257,-0.00988987633532,10.5249600234,6.26980138035,0.0133650208246,0.0,-0.0697277873374,-0.0522692894312,1.56722468957,-0.0259908669917,-0.00326387119478,0.0,497.4211543333966,495.9904448402559,496.4010520454991,495.05472462316123
0.7800000000000004,-0.0216478155427,-0.0132406304013,10.6170409698,6.26849280223,0.0135141398429,0.0,-0.076720830469,-0.0595341981897,1.50222656959,-0.0145406121236,0.0120340620242,0.0,383.06763091045934,384.5194664596458,382.8612123085157,383.94888910179395
0.8400000000000004,-0.0265421319942,-0.0171288426022,10.7107949435,6.26724184668,0.0146385706152,0.0,-0.0865206331455,-0.0701771835648,1.62273883199,-0.038083943274,0.0295855193936,0.0,445.16937525519575,446.6030769316103,446.3333078949624,444.4078008910329
0.9000000000000005,-0.0319972989663,-0.0216270979899,10.8081217029,6.26570062665,0.0163789855254,0.0,-0.0954714304224,-0.0799247945145,1.62148257726,-0.00829247264479,0.0278240519625,0.0,406.2317161207361,406.07407746574995,405.0022994245836,407.6724415433098
0.9600000000000005,-0.0380955410609,-0.0268119904794,10.9099101516,6.26540049778,0.0178325747205,0.0,-0.107971917638,-0.0929440831194,1.77124100531,0.000877980816133,0.0158343630629,0.0,455.81098314615394,454.8519411646123,454.37203778956825,455.10666135223323
1.0200000000000005,-0.0449732078931,-0.03278264538,11.0206769968,6.26532222189,0.0188930916022,0.0,-0.12138975334,-0.106074667598,1.92074487817,-0.00607272893113,0.0211237502047,0.0,455.43590737096287,455.8586599559872,455.5050307005831,454.94891018843236
1.0800000000000005,-0.0527407966227,-0.0395988049283,11.1434367346,6.26490261642,0.0213398861225,0.0,-0.137771689748,-0.121171519946,2.17079858921,-0.00890157011968,0.0644458694391,0.0,483.97727113866813,487.22737644959284,485.88014451335897,485.6681463591878
1.1400000000000006,-0.0615189090931,-0.0472945477583,11.2792135881,6.26508369559,0.0249475285298,0.0,-0.155253895731,-0.135359053644,2.35472397038,0.0199306437941,0.0496769976487,0.0,468.3225497400624,467.17476885959303,465.7142020606043,467.9638219958723
1.2000000000000006,-0.0714014626881,-0.0558135566639,11.4250397816,6.2660558309,0.0273686512476,0.0,-0.174470576961,-0.14848237395,2.50582213346,0.00744723119015,0.00529059407851,0.0,460.7004772048212,457.1782096731349,457.9257084630917,456.9315499688944
